,Unnamed: 0,Unnamed: 0.1,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode,lat,lng
0,0,20,99 READE STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,07/25/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,982011.0,200013.0,"99 READE STREET, NEW YORK, NEW YORK","(40.7156224, -74.0081531)",40.7156224,-74.0081531
1,1,83,98 B AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,08/08/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,989379.0,203305.0,"98 B AVENUE, NEW YORK, NEW YORK","(40.67675790000001, -73.9470886)",40.67675790000001,-73.9470886
2,2,174,973 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,07/07/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,994758.0,230868.0,"973 COLUMBUS AVENUE, NEW YORK, NEW YORK","(40.800244, -73.96171)",40.800244,-73.96171
3,3,227,96 FAIRVIEW AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,10.0,05/07/2011 07:00:00 AM +0000,Open,Unspecified,,1002939.0,251387.0,"96 FAIRVIEW AVENUE, NEW YORK, NEW YORK","(40.8566844, -73.9325034)",40.8566844,-73.9325034
4,4,230,96 BROADWAY,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,12/02/2010 08:00:00 AM +0000,Open,Unspecified,,981062.0,197215.0,"96 BROADWAY, NEW YORK, NEW YORK","(40.7079884, -74.0115295)",40.7079884,-74.0115295
5,5,247,965 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,994484.0,219536.0,"965 LEXINGTON AVENUE, NEW YORK, NEW YORK","(40.769144, -73.962825)",40.769144,-73.962825
6,6,292,95 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/03/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985902.0,200773.0,"95 CHRYSTIE STREET, NEW YORK, NEW YORK","(40.717793, -73.99437999999999)",40.717793,-73.99437999999999
7,7,382,942 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,08/17/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,994569.0,230540.0,"942 COLUMBUS AVENUE, NEW YORK, NEW YORK","(40.799581, -73.963014)",40.799581,-73.963014
8,8,432,93 FRANKLIN STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,08/04/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,982857.0,200910.0,"93 FRANKLIN STREET, NEW YORK, NEW YORK","(40.7181121, -74.0049859)",40.7181121,-74.0049859
9,9,466,930 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,08/15/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,994471.0,230363.0,"930 COLUMBUS AVENUE, NEW YORK, NEW YORK","(40.799083, -73.963331)",40.799083,-73.963331
