,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
9703,203 LAFAYETTE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,03/01/2011 08:00:00 AM +0000,Open,Mail returned / wrong address,,984838.0,202110.0,"203 LAFAYETTE STREET, NEW YORK, NEW YORK","(40.72141999999999, -73.9977468)"
9705,203 EAST 13 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,10/05/2010 07:00:00 AM +0000,Open,Unspecified,,987767.0,206130.0,"203 EAST 13 STREET, NEW YORK, NEW YORK","(40.7325813, -73.98724849999999)"
9708,203 CENTRE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,07/11/2011 07:00:00 AM +0000,Open,Graffiti Reported,,984489.0,201245.0,"203 CENTRE STREET, NEW YORK, NEW YORK","(40.7189301, -73.99924519999999)"
9746,2029 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000737.0,243518.0,"2029 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8350395, -73.9404359)"
9751,2026 LEXINGTON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,06/15/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001346.0,231932.0,"2026 LEXINGTON AVENUE, NEW YORK, NEW YORK","(40.8034589, -73.938389)"
9773,201 WEST 81 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990456.0,225117.0,"201 WEST 81 STREET, NEW YORK, NEW YORK","(40.7844787, -73.97734779999999)"
9785,201 EAST 35 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,4.0,06/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990484.0,211191.0,"201 EAST 35 STREET, NEW YORK, NEW YORK","(40.7463437, -73.97716009999999)"
9796,201 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,988975.0,222291.0,"201 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.796417, -73.969205)"
9830,200 WEST 96 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,6.0,08/18/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,992399.0,228601.0,"200 WEST 96 STREET, NEW YORK, NEW YORK","(40.7940526, -73.9703861)"
9834,200 WEST 81 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990453.0,225112.0,"200 WEST 81 STREET, NEW YORK, NEW YORK","(40.7844799, -73.9774253)"
9848,200 MULBERRY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,08/15/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985242.0,202151.0,"200 MULBERRY STREET, NEW YORK, NEW YORK","(40.7215267, -73.99643669999999)"
9859,2009 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,03/15/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000125.0,228675.0,"2009 3 AVENUE, NEW YORK, NEW YORK","(40.794211, -73.942307)"
9869,2005 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/18/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1000590.0,243250.0,"2005 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8342641, -73.9406802)"
9890,2001 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/18/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1000565.0,243205.0,"2001 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.834136, -73.94074100000002)"
