,Unnamed: 0,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
19,7957,2549 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1004054.0,249508.0,"2549 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8515138, -73.9284112)"
20,7977,253 WEST 28 STREET,MANHATTAN,05 MANHATTAN,Precinct 10,3.0,06/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985682.0,211746.0,"253 WEST 28 STREET, NEW YORK, NEW YORK","(40.7437681, -73.984858)"
21,7978,253 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,03/10/2011 08:00:00 AM +0000,Open,Unspecified,,998136.0,234248.0,"253 WEST 125 STREET, NEW YORK, NEW YORK","(40.810232, -73.94983599999999)"
22,8008,252 EAST 86 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,12/15/2010 08:00:00 AM +0000,Open,Unspecified,,997316.0,222844.0,"252 EAST 86 STREET, NEW YORK, NEW YORK","(40.7779905, -73.9520392)"
23,8052,250 WEST 86 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990598.0,226565.0,"250 WEST 86 STREET, NEW YORK, NEW YORK","(40.7884334, -73.97712899999999)"
24,8055,250 WEST 155 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,07/20/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1001894.0,241212.0,"250 WEST 155 STREET, NEW YORK, NEW YORK","(40.8284785, -73.9356565)"
25,8057,250 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,06/09/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,993336.0,231123.0,"250 WEST 106 STREET, NEW YORK, NEW YORK","(40.8010881, -73.9673803)"
26,8061,250 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/11/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1006616.0,254840.0,"250 SHERMAN AVENUE, NEW YORK, NEW YORK","(40.866193, -73.9190948)"
27,8070,250 EAST 124 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,03/16/2011 07:00:00 AM +0000,Open,Unspecified,,1002197.0,231669.0,"250 EAST 124 STREET, NEW YORK, NEW YORK","(40.802256, -73.9344917)"
28,8073,250 BRADHURST AVENUE,MANHATTAN,10 MANHATTAN,Unspecified,7.0,07/14/2011 07:00:00 AM +0000,Open,Mail returned / wrong address,,1001197.0,241465.0,"250 BRADHURST AVENUE, NEW YORK, NEW YORK","(40.829315, -73.938395)"
29,8121,24 A AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,07/08/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,988221.0,202723.0,"24 A AVENUE, NEW YORK, NEW YORK","(40.6793358, -73.94685059999999)"
30,8122,249 WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,07/25/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985829.0,211958.0,"249 WEST 29 STREET, NEW YORK, NEW YORK","(40.748916, -73.994827)"
31,8133,249A WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,07/24/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985829.0,211958.0,"249A WEST 29 STREET, NEW YORK, NEW YORK","(40.748916, -73.994827)"
32,8168,247 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002497.0,247642.0,"247 AUDUBON AVENUE, NEW YORK, NEW YORK","(40.84632879999999, -73.93381389999999)"
33,8172,2473 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,12/13/2010 08:00:00 AM +0000,Open,Unspecified,,1000934.0,238299.0,"2473 7 AVENUE, NEW YORK, NEW YORK","(40.8207377, -73.9396039)"
34,8229,244 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,07/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985953.0,202839.0,"244 ELIZABETH STREET, NEW YORK, NEW YORK","(40.7233949, -73.993624)"
35,8278,242 EAST 33 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,2.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990458.0,210561.0,"242 EAST 33 STREET, NEW YORK, NEW YORK","(40.744193, -73.97714599999999)"
36,8330,2415 E.124 ST,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/18/2011 08:00:00 AM +0000,Open,Unspecified,,,,"2415 E.124 ST, NEW YORK, NEW YORK","(40.8021486, -73.9344349)"
37,8332,2415 2 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,02/15/2011 08:00:00 AM +0000,Open,Unspecified,,1002486.0,231467.0,"2415 2 AVENUE, NEW YORK, NEW YORK","(40.802097, -73.93444699999999)"
38,8357,240 EAST 33 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,2.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990449.0,210566.0,"240 EAST 33 STREET, NEW YORK, NEW YORK","(40.7442179, -73.977205)"
39,8360,240 CENTRE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,03/25/2011 07:00:00 AM +0000,Open,Unspecified,,984747.0,201649.0,"240 CENTRE STREET, NEW YORK, NEW YORK","(40.7202683, -73.9980702)"
40,8368,2407 8 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,11/13/2010 08:00:00 AM +0000,Open,Unspecified,,998255.0,235332.0,"2407 8 AVENUE, NEW YORK, NEW YORK","(40.8127246, -73.9496551)"
41,8372,2405 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,01/06/2011 08:00:00 AM +0000,Open,Unspecified,,1003215.0,247991.0,"2405 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8471455, -73.9313877)"
42,8399,23 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,05/13/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,999969.0,233231.0,"23 WEST 125 STREET, NEW YORK, NEW YORK","(40.8069391, -73.94343409999999)"
43,8404,23 PELL STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/07/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,984752.0,199715.0,"23 PELL STREET, NEW YORK, NEW YORK","(40.714746, -73.99827900000001)"
44,8487,2366 5 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,9.0,05/13/2011 07:00:00 AM +0000,Open,Unspecified,,1002424.0,237081.0,"2366 5 AVENUE, NEW YORK, NEW YORK","(40.8174025, -73.9343165)"
45,8502,2360 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,11/10/2010 08:00:00 AM +0000,Open,Unspecified,,1002867.0,247373.0,"2360 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8457573, -73.9328417)"
46,8505,235 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/20/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998234.0,234193.0,"235 WEST 125 STREET, NEW YORK, NEW YORK","(40.8095833, -73.94971389999999)"
47,8575,2333 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,07/30/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,990548.0,226164.0,"2333 BROADWAY, NEW YORK, NEW YORK","(40.78763, -73.977599)"
48,8592,232 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/20/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,997077.0,232087.0,"232 WEST 116 STREET, NEW YORK, NEW YORK","(40.8036079, -73.9542)"
49,8631,2319 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,07/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002137.0,232299.0,"2319 3 AVENUE, NEW YORK, NEW YORK","(40.8043331, -73.93533769999999)"
50,8698,22 PELL STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/07/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,984757.0,199719.0,"22 PELL STREET, NEW YORK, NEW YORK","(40.7148636, -73.99824)"
51,8702,22 EAST 36 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,3.0,08/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,989293.0,212138.0,"22 EAST 36 STREET, NEW YORK, NEW YORK","(40.7489182, -73.9817501)"
52,8705,229 WEST 28 STREET,MANHATTAN,05 MANHATTAN,Precinct 10,3.0,06/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985816.0,211671.0,"229 WEST 28 STREET, NEW YORK, NEW YORK","(40.7478186, -73.9947352)"
53,8735,228 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1005832.0,253561.0,"228 NAGLE AVENUE, NEW YORK, NEW YORK","(40.863011, -73.922005)"
54,8738,228 EAST 80 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,06/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,996432.0,221498.0,"228 EAST 80 STREET, NEW YORK, NEW YORK","(40.774227, -73.95564999999999)"
55,8751,2284 12 AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,7.0,07/15/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,995208.0,237353.0,"2284 12 AVENUE, NEW YORK, NEW YORK","(40.8185482, -73.96042419999999)"
56,8808,225 WEST 115 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,04/18/2011 07:00:00 AM +0000,Open,Unspecified,,996991.0,231817.0,"225 WEST 115 STREET, NEW YORK, NEW YORK","(40.803323, -73.95429299999999)"
57,8813,225 EAST HOUSTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,08/01/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987999.0,202424.0,"225 EAST HOUSTON STREET, NEW YORK, NEW YORK","(40.7221254, -73.9866184)"
58,8937,2224 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001998.0,245806.0,"2224 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.841475, -73.936144)"
59,8970,2212 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,989746.0,224762.0,"2212 BROADWAY, NEW YORK, NEW YORK","(40.7783011, -73.9818248)"
60,9008,2200 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,06/04/2011 07:00:00 AM +0000,Open,Unspecified,,1001391.0,230966.0,"2200 3 AVENUE, NEW YORK, NEW YORK","(40.8005447, -73.9381417)"
