,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
3763,518 WEST 58 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,6.0,06/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987216.0,219917.0,"518 WEST 58 STREET, NEW YORK, NEW YORK","(40.7702069, -73.9890928)"
3765,518 WEST 145 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,05/12/2011 07:00:00 AM +0000,Open,Mail returned / wrong address,,998538.0,240050.0,"518 WEST 145 STREET, NEW YORK, NEW YORK","(40.8254779, -73.94893400000001)"
3769,51 8 AVENUE,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,07/15/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983178.0,208405.0,"51 8 AVENUE, NEW YORK, NEW YORK","(40.738216, -74.0040867)"
3770,518 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,3.0,08/11/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985874.0,214833.0,"518 9 AVENUE, NEW YORK, NEW YORK","(40.756239, -73.993894)"
3774,517 WEST 163 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/03/2011 07:00:00 AM +0000,Open,Unspecified,,1000745.0,244252.0,"517 WEST 163 STREET, NEW YORK, NEW YORK","(40.836913, -73.9399358)"
3776,517 EAST 77 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,08/04/2011 07:00:00 AM +0000,Open,Unspecified,,997820.0,219783.0,"517 EAST 77 STREET, NEW YORK, NEW YORK","(40.76962340000001, -73.95030129999999)"
3783,516 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,991000.0,225955.0,"516 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.7869209, -73.9756311)"
3786,515 WEST 134 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,11/09/2010 08:00:00 AM +0000,Open,Unspecified,,997149.0,237493.0,"515 WEST 134 STREET, NEW YORK, NEW YORK","(40.818909, -73.953728)"
3802,512 WEST 162 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/02/2011 07:00:00 AM +0000,Open,Unspecified,,1000699.0,243977.0,"512 WEST 162 STREET, NEW YORK, NEW YORK","(40.836142, -73.94072)"
3803,512 WEST 152 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/01/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999461.0,241643.0,"512 WEST 152 STREET, NEW YORK, NEW YORK","(40.8300005, -73.9452163)"
