,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
811,892 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,6.0,06/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,988298.0,219207.0,"892 9 AVENUE, NEW YORK, NEW YORK","(40.768306, -73.98514399999999)"
851,88A BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,05/01/2011 07:00:00 AM +0000,Open,Unspecified,,985499.0,200568.0,"88A BOWERY, NEW YORK, NEW YORK","(40.7171841, -73.9956998)"
863,884 RIVERSIDE DRIVE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/02/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999063.0,244284.0,"884 RIVERSIDE DRIVE, NEW YORK, NEW YORK","(40.8383314, -73.94678689999999)"
895,880 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,03/23/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,993370.0,230231.0,"880 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.7986401, -73.9672693)"
977,86 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1004200.0,252772.0,"86 NAGLE AVENUE, NEW YORK, NEW YORK","(40.860692, -73.928063)"
1056,85 PITT STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,08/05/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,989141.0,201075.0,"85 PITT STREET, NEW YORK, NEW YORK","(40.718622, -73.982601)"
1067,85 CANAL STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/05/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,986131.0,199883.0,"85 CANAL STREET, NEW YORK, NEW YORK","(40.7153036, -73.993336)"
1117,850 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,02/22/2011 08:00:00 AM +0000,Open,Unspecified,,993983.0,229483.0,"850 COLUMBUS AVENUE, NEW YORK, NEW YORK","(40.7970064, -73.9648855)"
1135,849 ST NICHOLAS AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,03/24/2011 07:00:00 AM +0000,Open,Unspecified,,1000281.0,241358.0,"849 ST NICHOLAS AVENUE, NEW YORK, NEW YORK","(40.82915149999999, -73.9422441)"
1136,849 SAINT NICHOLAS AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,03/31/2011 07:00:00 AM +0000,Open,Unspecified,,1000281.0,241358.0,"849 SAINT NICHOLAS AVENUE, NEW YORK, NEW YORK","(40.82915149999999, -73.9422441)"
1177,842 AVENUE OF THE AMERICAS,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,08/01/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,987052.0,211390.0,"842 AVENUE OF THE AMERICAS, NEW YORK, NEW YORK","(40.7469416, -73.98980499999999)"
1180,842 6 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,07/31/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,987052.0,211390.0,"842 6 AVENUE, NEW YORK, NEW YORK","(40.7469416, -73.98980499999999)"
1222,837 WASHINGTON STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,08/12/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,982084.0,209044.0,"837 WASHINGTON STREET, NEW YORK, NEW YORK","(40.740626, -74.00734)"
1264,82 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/12/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1004164.0,252754.0,"82 NAGLE AVENUE, NEW YORK, NEW YORK","(40.8604371, -73.9280422)"
1275,826 6 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,3.0,07/20/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,986951.0,211206.0,"826 6 AVENUE, NEW YORK, NEW YORK","(40.7463875, -73.99023559999999)"
