,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
2570,638 EAST 6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,01/04/2011 08:00:00 AM +0000,Open,Graffiti Reported,,989614.0,203076.0,"638 EAST 6 STREET, NEW YORK, NEW YORK","(40.72365500000001, -73.98025700000001)"
2571,637 WEST 50 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,06/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985509.0,218438.0,"637 WEST 50 STREET, NEW YORK, NEW YORK","(40.766769, -73.9963799)"
2583,634 WEST 147 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/14/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998066.0,240930.0,"634 WEST 147 STREET, NEW YORK, NEW YORK","(40.828027, -73.950801)"
2602,631 WEST 142 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,06/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997375.0,239790.0,"631 WEST 142 STREET, NEW YORK, NEW YORK","(40.825276, -73.95307199999999)"
2625,62 EAST 125 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,9.0,07/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000842.0,232742.0,"62 EAST 125 STREET, NEW YORK, NEW YORK","(40.805228, -73.94019399999999)"
2636,628 WEST 45 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,06/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,984905.0,217275.0,"628 WEST 45 STREET, NEW YORK, NEW YORK","(40.763319, -73.998757)"
2666,623 WEST 185 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002860.0,249697.0,"623 WEST 185 STREET, NEW YORK, NEW YORK","(40.852145, -73.932535)"
2678,621 WEST 135 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/15/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,996463.0,238191.0,"621 WEST 135 STREET, NEW YORK, NEW YORK","(40.82089999999999, -73.956243)"
2706,61 BANK STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983056.0,207699.0,"61 BANK STREET, NEW YORK, NEW YORK","(40.73698, -74.004251)"
2708,619 WEST 46 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,06/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985076.0,217486.0,"619 WEST 46 STREET, NEW YORK, NEW YORK","(40.7639183, -73.9974871)"
2725,616 8 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,07/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,986793.0,214637.0,"616 8 AVENUE, NEW YORK, NEW YORK","(40.7557795, -73.99082709999999)"
