,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
8357,240 EAST 33 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,2.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990449.0,210566.0,"240 EAST 33 STREET, NEW YORK, NEW YORK","(40.7442179, -73.977205)"
8360,240 CENTRE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,03/25/2011 07:00:00 AM +0000,Open,Unspecified,,984747.0,201649.0,"240 CENTRE STREET, NEW YORK, NEW YORK","(40.7202683, -73.9980702)"
8368,2407 8 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,11/13/2010 08:00:00 AM +0000,Open,Unspecified,,998255.0,235332.0,"2407 8 AVENUE, NEW YORK, NEW YORK","(40.8127246, -73.9496551)"
8372,2405 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,01/06/2011 08:00:00 AM +0000,Open,Unspecified,,1003215.0,247991.0,"2405 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8471455, -73.9313877)"
8399,23 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,05/13/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,999969.0,233231.0,"23 WEST 125 STREET, NEW YORK, NEW YORK","(40.8069391, -73.94343409999999)"
8404,23 PELL STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/07/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,984752.0,199715.0,"23 PELL STREET, NEW YORK, NEW YORK","(40.714746, -73.99827900000001)"
8487,2366 5 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,9.0,05/13/2011 07:00:00 AM +0000,Open,Unspecified,,1002424.0,237081.0,"2366 5 AVENUE, NEW YORK, NEW YORK","(40.8174025, -73.9343165)"
8502,2360 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,11/10/2010 08:00:00 AM +0000,Open,Unspecified,,1002867.0,247373.0,"2360 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8457573, -73.9328417)"
8505,235 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/20/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998234.0,234193.0,"235 WEST 125 STREET, NEW YORK, NEW YORK","(40.8095833, -73.94971389999999)"
8575,2333 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,07/30/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,990548.0,226164.0,"2333 BROADWAY, NEW YORK, NEW YORK","(40.78763, -73.977599)"
