,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
11310,160 EAST 28 STREET,MANHATTAN,06 MANHATTAN,Precinct 13,2.0,06/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,989308.0,209730.0,"160 EAST 28 STREET, NEW YORK, NEW YORK","(40.7420015, -73.98136699999999)"
11311,160 EAST 23 STREET,MANHATTAN,06 MANHATTAN,Precinct 13,2.0,11/16/2010 08:00:00 AM +0000,Open,Unspecified,,988669.0,208591.0,"160 EAST 23 STREET, NEW YORK, NEW YORK","(40.738767, -73.983732)"
11375,15 C AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,08/08/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,989521.0,202022.0,"15 C AVENUE, NEW YORK, NEW YORK","(40.679694, -73.9467824)"
11379,159 WEST 27 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,3.0,08/06/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,986292.0,211112.0,"159 WEST 27 STREET, NEW YORK, NEW YORK","(40.7463852, -73.9932475)"
11384,159 EAST 10 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,04/12/2011 07:00:00 AM +0000,Open,Unspecified,,987550.0,205355.0,"159 EAST 10 STREET, NEW YORK, NEW YORK","(40.7299565, -73.9872804)"
11394,1594 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1003680.0,250686.0,"1594 ST NICHOLAS AVENUE, NEW YORK, NEW YORK","(40.8547612, -73.9297495)"
11400,1592 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1003672.0,250671.0,"1592 ST NICHOLAS AVENUE, NEW YORK, NEW YORK","(40.8546406, -73.9296595)"
11447,1582 3 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,04/25/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,997351.0,223677.0,"1582 3 AVENUE, NEW YORK, NEW YORK","(40.780779, -73.95295399999999)"
11449,158-18 RIVERSIDE DRIVE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,06/13/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998525.0,244107.0,"158-18 RIVERSIDE DRIVE, NEW YORK, NEW YORK","(40.7956283, -73.80253379999999)"
11453,157 WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,06/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,986570.0,211547.0,"157 WEST 29 STREET, NEW YORK, NEW YORK","(40.7476237, -73.99199899999999)"
11459,157 MOTT STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,08/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985265.0,201387.0,"157 MOTT STREET, NEW YORK, NEW YORK","(40.719515, -73.996577)"
11478,1576 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,06/17/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,997057.0,221667.0,"1576 2 AVENUE, NEW YORK, NEW YORK","(40.7752334, -73.95328959999999)"
11497,156 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1004921.0,253125.0,"156 NAGLE AVENUE, NEW YORK, NEW YORK","(40.861733, -73.925231)"
