,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
5301,400 EAST 87 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,05/05/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,998500.0,222511.0,"400 EAST 87 STREET, NEW YORK, NEW YORK","(40.7774968, -73.94877939999999)"
5306,400 BROADWAY,MANHATTAN,01 MANHATTAN,Precinct 5,1.0,08/16/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983567.0,201119.0,"400 BROADWAY, NEW YORK, NEW YORK","(40.71858700000001, -74.00216999999999)"
5309,400 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/06/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1003467.0,249406.0,"400 AUDUBON AVENUE, NEW YORK, NEW YORK","(40.851392, -73.930758)"
5322,3 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,05/13/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1000093.0,233163.0,"3 WEST 125 STREET, NEW YORK, NEW YORK","(40.8065816, -73.942585)"
5323,3 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,08/03/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000093.0,233163.0,"3 WEST 125 STREET, NEW YORK, NEW YORK","(40.8065816, -73.942585)"
5338,399 WEST BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,1.0,07/12/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983649.0,203143.0,"399 WEST BROADWAY, NEW YORK, NEW YORK","(40.7242822, -74.00204)"
5359,396 BROOME STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,07/26/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985032.0,201828.0,"396 BROOME STREET, NEW YORK, NEW YORK","(40.7209069, -73.99709399999999)"
5361,396 BROADWAY,MANHATTAN,01 MANHATTAN,Precinct 5,1.0,08/16/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983517.0,201041.0,"396 BROADWAY, NEW YORK, NEW YORK","(40.7254934, -73.99696759999999)"
5380,393 WEST STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,981393.0,206243.0,"393 WEST STREET, NEW YORK, NEW YORK","(40.7330491, -74.0104556)"
5406,3915 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000344.0,244676.0,"3915 BROADWAY, NEW YORK, NEW YORK","(40.8382725, -73.9421156)"
